epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,2218.89,0.9922,1.00064,1.04679,0.48067,0.53238,0.60182,0.29693,1.79887,2.41582,1.76678,0.000495125,0.000495125,0.000495125
124,2236.89,1.14177,1.07176,1.089,0.47419,0.52926,0.60264,0.29593,1.77974,2.37462,1.79734,0.000488938,0.000488938,0.000488938
125,2254.74,0.9821,0.93427,0.99557,0.47419,0.52926,0.60264,0.29593,1.77974,2.37462,1.79734,0.00048275,0.00048275,0.00048275
126,2272.79,1.03776,1.00522,1.03203,0.47419,0.52926,0.60264,0.29593,1.77974,2.37462,1.79734,0.000476562,0.000476562,0.000476562
127,2290.73,0.96623,0.8836,1.01128,0.47419,0.52926,0.60264,0.29593,1.77974,2.37462,1.79734,0.000470375,0.000470375,0.000470375
128,2308.69,1.11785,0.99185,1.03003,0.54569,0.59566,0.5735,0.28632,1.94774,2.30766,1.90321,0.000464188,0.000464188,0.000464188
129,2326.7,0.93572,0.87489,0.99908,0.54569,0.59566,0.5735,0.28632,1.94774,2.30766,1.90321,0.000458,0.000458,0.000458
130,2344.71,1.13276,0.97441,1.01263,0.54569,0.59566,0.5735,0.28632,1.94774,2.30766,1.90321,0.000451813,0.000451813,0.000451813
131,2362.6,1.04366,0.94607,1.00656,0.54569,0.59566,0.5735,0.28632,1.94774,2.30766,1.90321,0.000445625,0.000445625,0.000445625
132,2380.65,1.01069,0.93509,1.03051,0.52297,0.59167,0.57811,0.27863,2.02903,2.27997,1.96441,0.000439437,0.000439437,0.000439437
133,2398.98,0.91164,0.89147,0.98826,0.52297,0.59167,0.57811,0.27863,2.02903,2.27997,1.96441,0.00043325,0.00043325,0.00043325
134,2416.93,0.96427,0.88174,0.977,0.52297,0.59167,0.57811,0.27863,2.02903,2.27997,1.96441,0.000427062,0.000427062,0.000427062
135,2434.88,0.98116,0.94159,1.02268,0.52297,0.59167,0.57811,0.27863,2.02903,2.27997,1.96441,0.000420875,0.000420875,0.000420875
136,2452.92,0.95782,0.97848,1.03808,0.50918,0.63938,0.58204,0.26718,2.12056,2.24379,2.04353,0.000414688,0.000414688,0.000414688
137,2470.73,0.91972,0.85025,0.9593,0.50918,0.63938,0.58204,0.26718,2.12056,2.24379,2.04353,0.0004085,0.0004085,0.0004085
